title,url,category,source_label
Progress in Achieving Health Equity Requires Attention to Root Causes,https://pubmed.ncbi.nlm.nih.gov/28583955/,academic,Health Affairs (2017)
"Discrimination, Mental Health, and Suicidal Ideation Among LGBTQ People of Color",https://pubmed.ncbi.nlm.nih.gov/28493664/,academic,PubMed
Rural-Urban Disparities in Health Care in the United States,https://pubmed.ncbi.nlm.nih.gov/28777724/,academic,PubMed
Maternal Mortality and Morbidity in the United States: Where Are We Now?,https://pubmed.ncbi.nlm.nih.gov/30629181/,academic,PubMed
The National Institute on Minority Health and Health Disparities Research Framework,https://pubmed.ncbi.nlm.nih.gov/30699025/,academic,American Journal of Public Health (2019)
Addressing Social Determinants of Health in Primary Care,https://pubmed.ncbi.nlm.nih.gov/31248415/,academic,PubMed
Community Health Workers as a Strategy to Address Health Inequities,https://pubmed.ncbi.nlm.nih.gov/25789077/,academic,PubMed
Health Disparities in Chronic Kidney Disease,https://pubmed.ncbi.nlm.nih.gov/32146931/,academic,Clinical Journal of the American Society of Nephrology / PubMed
"Measuring Health Disparities, Health Inequities, and Social Determinants of Health to Support the Advancement of Health Equity",https://pubmed.ncbi.nlm.nih.gov/28936010/,academic,PubMed
Place Matters: Neighborhoods and Health,https://pubmed.ncbi.nlm.nih.gov/19371159/,academic,PubMed
Health Equity Plan,https://oheace.cdph.ca.gov/tech-resources/slo-health-equity-plan.pdf,state_local,San Luis Obispo County Public Health / California Department of Public Health
Health Equity Guide for Public Health Practitioners and Partners (2nd ed.),https://dhss.delaware.gov/wp-content/uploads/sites/10/dph/pdf/heg2nded.pdf,state_local,Delaware Division of Public Health
HEIA Implementation Guide,https://www.ncdhhs.gov/heia-implementation-guide/open,state_local,North Carolina DHHS
Racial and Ethnic Health Disparities in North Carolina,https://schs.dph.ncdhhs.gov/SCHS/pdf/MinorityHealthReport_Web_2018.pdf,state_local,North Carolina DHHS
Health Equity Plan,https://www.sandiegocounty.gov/content/dam/sdc/hhsa/programs/phs/health-equity/PHS%20Health%20Equity%20Plan%20FY23-24%20to%20FY25-26-FINAL.pdf,state_local,County of San Diego Health and Human Services Agency
Health Equity Strategic Plan,https://portal.ct.gov/-/media/departments-and-agencies/dph/dph/hems/health_equity/healthequitystrategicplandraftforreview73115pdf.pdf,state_local,Connecticut DPH Office of Health Equity
Community Health Workers at Scale in New York City,https://www.nyc.gov/assets/doh/downloads/pdf/cmo/community-health-workers-health-equity-strategy.pdf,state_local,NYC DOHMH
Regional Health Equity Plan FY23-24,https://hcpf.colorado.gov/sites/hcpf/files/RAE%204%20Health%20Equity%20Plan%20FY23-24.pdf,state_local,Colorado Dept. of Health Care Policy and Financing
Health Equity Plan,https://www.clatsopcounty.gov/media/50016,state_local,Clatsop County Department of Public Health
The State of Health Equity in Pennsylvania,https://www.pa.gov/content/dam/copapwp-pagov/en/health/documents/topics/documents/health-equity/The%20State%20of%20Health%20Equity%20in%20PA%20Report%20FINAL.pdf,state_local,Pennsylvania Department of Health
White paper on the state of health equity measurement,https://www.hca.wa.gov/assets/program/state-of-health-equity-measurement-white-paper.pdf,state_local,Washington State Health Care Authority
A Vision of Health Equity & the Public Health System,https://www.healthvermont.gov/sites/default/files/documents/pdf/2%20Health%20Equity%20%26%20the%20Public%20Health%20System.pdf,state_local,Vermont Department of Health
Arizona Health Equity Stakeholder Strategies,https://www.azdhs.gov/documents/prevention/chronic-disease/health-disparities/publications-data/az-health-equity-plan.pdf,state_local,Arizona Department of Health Services
Health Equity Review Planning Tool,https://doh.wa.gov/sites/default/files/legacy/Documents/8300/140-044-HERtool-en-L.pdf,state_local,Washington State Department of Health
Nevada Health Equity Action Plan (HEAP),https://www.dhs.nv.gov/siteassets/content/programs/nomhe/mh/Health_Equity_Action_Plan_FINAL_ADA_cover.pdf,state_local,Nevada DHHS
2022 Annual Report,https://health.maryland.gov/mche/Documents/MCHE%20Annual%20Report%20-%20Final.pdf,state_local,Maryland Commission on Health Equity
2026 State Health Improvement Plan Update,https://health.maryland.gov/pha/Documents/PHAB%20documents/2026%20State%20Health%20Improvement%20Plan%20Update_3.2026.pdf,state_local,Maryland Department of Health
"Advancing health equity: Key questions for assessing policy, systems, and environmental change",https://www.health.mn.gov/communities/practice/resources/publications/docs/1811advancingHEkeyQs.pdf,state_local,Minnesota Department of Health
Advancing Health Equity in Minnesota: Executive Summary,https://www.health.mn.gov/communities/equity/reports/aheexecutivesummary.pdf,state_local,Minnesota Department of Health
Health Equity Data Analysis,https://assets.ramseycountymn.gov/files/migrated-files/HEDA_10.12.17.pdf,state_local,"Ramsey County, Minnesota"
Portrait of Promise: The California Statewide Plan to Promote Health and Mental Health Equity,https://www.cdph.ca.gov/Programs/OHE/CDPH%20Document%20Library/Accessible-CDPH_OHE_Disparity_Report_Race_Equity.pdf,state_local,California Department of Public Health / Office of Health Equity
A Blueprint for Health Equity: Health Equity Task Force Final Report,https://malegislature.gov/Reports/11522/Final%20Health%20Equity%20Task%20Force%20Final%20Report-%20A%20Blueprint%20for%20Health%20Equity%207.1.21.pdf,state_local,Massachusetts Legislature Health Equity Task Force
Oregon Health Equity Review,https://sharedsystems.dhsoha.state.or.us/DHSForms/Served/le-683051.pdf,state_local,Oregon Health Authority
Illinois Health Equity Plan,https://dph.illinois.gov/content/dam/soi/en/web/idph/publications/idph/topics-and-services/provider-partner-resources/healthy-illinois/2028/state-health-improvement-plan_2028.pdf,state_local,Illinois Department of Public Health
Michigan Health Equity Roadmap,https://www.michigan.gov/-/media/Project/Websites/mdhhs/Folder1/Folder55/Michigan_Health_Equity_Roadmap_English.pdf,state_local,Michigan Department of Health and Human Services
New Jersey Health Equity Strategy,https://www.nj.gov/health/about/documents/njdoh-strategic-plan.pdf,state_local,New Jersey Department of Health
LA County Health Equity Plan,http://publichealth.lacounty.gov/CenterForHealthEquity/PDF/CHEActionPlanFinalDraft_2.15.2019.pdf,state_local,Los Angeles County Department of Public Health
King County Equity and Social Justice Strategic Plan,https://aqua.kingcounty.gov/dnrp/library/dnrp-directors-office/equity-social-justice/201609-ESJ-SP-FULL.pdf,state_local,"King County, Washington"
Wisconsin Health Disparities Report,https://www.dhs.wisconsin.gov/publications/p03091-2022-02.pdf,state_local,Wisconsin Department of Health Services
"Race, Inequality, and Health",https://files.kff.org/attachment/health-policy-101-race-inequality-and-health.pdf,ngo_nonprofit,KFF
Disparities in Health and Health Care: Five Key Questions and Answers,https://files.kff.org/attachment/Issue-Brief-Disparities-in-Health-and-Health-Care-Five-Key-Questions-and-Answers.pdf,ngo_nonprofit,KFF
Beyond Health Care: The Role of Social Determinants in Promoting Health and Health Equity,https://files.kff.org/attachment/issue-brief-beyond-health-care,ngo_nonprofit,KFF
Racial and Ethnic Health Inequities and Medicare,https://files.kff.org/attachment/Report-Racial-and-Ethnic-Health-Inequities-and-Medicare.pdf,ngo_nonprofit,KFF
Key Themes from a Roundtable Discussion of Health Care and Health Equity in the South,https://www.kff.org/wp-content/uploads/2014/06/8606-discussion-of-health-care-and-health-equity-in-the-south.pdf,ngo_nonprofit,KFF
Advancing Racial Equity in U.S. Health Care,https://www.commonwealthfund.org/publications/fund-reports/2024/apr/advancing-racial-equity-us-health-care,ngo_nonprofit,The Commonwealth Fund
Achieving Racial and Ethnic Equity in U.S. Health Care,https://www.commonwealthfund.org/publications/scorecard/2021/nov/achieving-racial-ethnic-equity-us-health-care-state-performance,ngo_nonprofit,The Commonwealth Fund
Advancing Racial Equity in Health Care,https://www.commonwealthfund.org/sites/default/files/2020-11/CMWF_DSR_Task_Force_Equity.pdf,ngo_nonprofit,The Commonwealth Fund
"Mirror, Mirror 2024: A Portrait of the Failing U.S. Health System",https://www.commonwealthfund.org/sites/default/files/2024-09/Blumenthal_mirror_mirror_2024_final_v2.pdf,ngo_nonprofit,The Commonwealth Fund
Accelerating Progress Toward Health Care Equity,https://www.urban.org/sites/default/files/2023-08/Unequal%20Treatment%20at%2020-Accelerating%20Progress%20Toward%20Health%20Care%20Equity_2023.pdf,ngo_nonprofit,Urban Institute
Envisioning a New Health System Rooted in Equity,https://www.urban.org/sites/default/files/2023-12/Envisioning_a_New_Health_System_Rooted_in_Equity.pdf,ngo_nonprofit,Urban Institute
Using Race and Ethnicity Data to Advance Health Equity,https://www.urban.org/sites/default/files/2023-10/Using%20Race%20and%20Ethnicity%20Data%20to%20Advance%20Health%20Equity.pdf,ngo_nonprofit,Urban Institute
Guide to Equity in Behavioral Health Care,https://www.urban.org/sites/default/files/2024-05/Guide_to_Equity_in_Behavioral_Health_Care.pdf,ngo_nonprofit,Urban Institute
Collection of Race and Ethnicity Data for Use by Health Plans to Advance Health Equity,https://www.urban.org/sites/default/files/2022-07/Collection%20of%20Race%20and%20Ethnicity%20Data%20for%20Use%20by%20Health%20Plans%20to%20Advance%20Health%20Equity_final.pdf,ngo_nonprofit,Urban Institute
Guide to Equity for the Uninsured,https://www.urban.org/sites/default/files/2024-01/Guide%20to%20Equity%20for%20the%20Uninsured.pdf,ngo_nonprofit,Urban Institute
Guide to Equity in Medicaid,https://www.urban.org/sites/default/files/2024-01/Guide%20to%20Equity%20in%20Medicaid.pdf,ngo_nonprofit,Urban Institute
A Framework for Advancing Health Equity and Value,https://familiesusa.org/wp-content/uploads/2018/06/FamiliesUSA_Policy-Options_Report.pdf,ngo_nonprofit,Families USA
A National Priority Agenda to Advance Health Equity,https://familiesusa.org/wp-content/uploads/2019/10/National-Priorities_Report.pdf,ngo_nonprofit,Families USA
Accelerating Health Equity by Measuring and Paying for Results,https://familiesusa.org/wp-content/uploads/2019/03/HEV_Data-Stratification_-Issue-Brief.pdf,ngo_nonprofit,Families USA
Advancing Equity in 2023: Federal Policy Priorities to Advance Health Equity,https://familiesusa.org/wp-content/uploads/2023/04/HE-Policy-Priorities.pdf,ngo_nonprofit,Families USA
Advancing Health Equity Through Community Health Workers and Patient/Peer Partnerships,https://familiesusa.org/wp-content/uploads/2019/11/HEV_PCORI-CHW-Report_11-04-19.pdf,ngo_nonprofit,Families USA
A Call to Action for Health Equity Leaders,https://familiesusa.org/wp-content/uploads/2017/12/Health-Equity-and-Value-Call-to-Action_brief_final.pdf,ngo_nonprofit,Families USA
Making Progress Toward Health Equity,https://familiesusa.org/wp-content/uploads/2020/12/HE-12_Making-Progress-toward-Equity-Issue-Brief_12-18-20.pdf,ngo_nonprofit,Families USA
What Is Health Equity? And What Difference Does a Definition Make?,https://www.rwjf.org/en/insights/our-research/2017/05/what-is-health-equity-.html,ngo_nonprofit,Robert Wood Johnson Foundation
From Vision to Action: Measures to Mobilize a Culture of Health,https://www.rwjf.org/content/dam/files/rwjf-web-files/Research/2015/From_Vision_to_Action_RWJF2015.pdf,ngo_nonprofit,Robert Wood Johnson Foundation
Communities in Action: Pathways to Health,https://nap.nationalacademies.org/catalog/24624/communities-in-action-pathways-to-health-equity,ngo_nonprofit,"National Academies of Sciences, Engineering, and Medicine"
Charting a Course for an Equity-Centered Data System,https://www.rwjf.org/en/insights/our-research/2021/10/charting-a-course-for-an-equity-centered-data-system.html,ngo_nonprofit,National Academy for State Health Policy
Equity of Care Toolkit,https://www.aha.org/ahahret-guides/2015-01-29-equity-care-toolkit-eliminating-health-care-disparities,ngo_nonprofit,American Hospital Association
Achieving Health Equity: A Guide for Health Care Organizations,https://www.ihi.org/library/white-papers/achieving-health-equity-guide-health-care-organizations,ngo_nonprofit,Institute for Healthcare Improvement
State of Black America (annual report),https://nul.org/state-of-black-america,ngo_nonprofit,
Time for justice: Tackling race inequalities in health and housing,https://www.brookings.edu/articles/time-for-justice-tackling-race-inequalities-in-health-and-housing/,news_commentary,Brookings
How white scholars are colonizing research on health disparities,https://www.statnews.com/2021/09/23/health-equity-tourists-white-scholars-colonizing-health-disparities-research/,news_commentary,STAT
Black Americans Still Suffer Worse Health. Here's Why That's Hard to Fix.,https://kffhealthnews.org/news/article/black-american-south-carolina-health-disparities-medicaid-policies/,news_commentary,KFF Health News
Study Reveals Staggering Toll of Being Black in America: 1.6M Excess Deaths Over 22 Years,https://kffhealthnews.org/news/article/black-americans-mortality-gap-racial-disparities-health-care-study-jama/,news_commentary,KFF Health News
"Racism Derails Black Men's Health, Even as Education Levels Rise",https://kffhealthnews.org/news/article/racism-derails-black-mens-health-even-as-education-levels-rise/,news_commentary,KFF Health News
Listen: NPR and KFF Health News Explore How Racism and Violence Hurt Health,https://kffhealthnews.org/news/article/racism-violence-black-american-health-podcasts-silence-in-sikeston-shortwave/,news_commentary,KFF Health News
The Growing Inequality in Life Expectancy Among Americans,https://kffhealthnews.org/news/article/growing-disparity-life-expectancy-racial-ethnic-groups-study/,news_commentary,KFF Health News
Achieving an equitable national health system for America,https://www.brookings.edu/articles/achieving-an-equitable-national-health-system-for-america/,news_commentary,Brookings
Re-balancing medical and social spending to promote health,https://www.brookings.edu/articles/re-balancing-medical-and-social-spending-to-promote-health-increasing-state-flexibility-to-improve-health-through-housing/,news_commentary,Brookings
Promote health equity by taxing sugary drinks and doubling support for community health centers,https://www.brookings.edu/articles/promote-health-equity-by-taxing-sugary-drinks-and-doubling-support-for-community-health-centers/,news_commentary,Brookings
Health plans need to address health inequities as part of their core work,https://www.statnews.com/2021/11/19/health-plans-insurers-addressing-racial-inequities-health-care-core-work/,news_commentary,STAT
In defense of not treating everyone the same,https://www.statnews.com/2021/12/03/in-defense-of-not-treating-everyone-the-same/,news_commentary,STAT
"Mississippi Lacks Black Doctors, Even as Lawmakers Move Against Diversity Programs",https://kffhealthnews.org/news/article/black-doctor-shortage-mississippi-diversity-dei-programs/,news_commentary,KFF Health News
"Health Insurance Benefits Should Be Equitable, Not Necessarily Equal",https://healthaffairs.org/do/10.1377/hblog20170522.060211/full,news_commentary,Health Affairs Forefront
Reimagining Rural Health Equity,https://www.healthaffairs.org/doi/10.1377/hlthaff.2024.00036,news_commentary,Health Affairs
5 building blocks to help achieve greater health equity,https://www.brookings.edu/articles/5-building-blocks-to-help-achieve-greater-health-equity/,news_commentary,Brookings
Using digital health to improve health outcomes and equity,https://www.brookings.edu/articles/using-digital-health-to-improve-health-outcomes-and-equity/,news_commentary,Brookings
Cost-effectiveness of health interventions may be perpetuating disparities --- that needs fixing,https://www.statnews.com/2024/08/05/cost-effectiveness-analyses-that-perpetuate-health-disparities-need-fixing/,news_commentary,STAT
"Despite lack of progress on health equity, these leaders forged ahead anyway",https://www.statnews.com/2022/02/24/little-progress-health-equity-these-leaders-forged-ahead-anyway/,news_commentary,STAT
National Academies proposes reimagining health care to fix unequal treatment,https://www.statnews.com/2024/06/26/national-academies-report-ending-unequal-treatment-health-inequity/,news_commentary,STAT
Health Equity Should Be a Key Value in Value-Based Payment and Delivery Reform,https://www.healthaffairs.org/content/forefront/health-equity-should-key-value-value-based-payment-and-delivery-reform,news_commentary,Health Affairs Forefront
Advancing Health Equity Through Value-Based Care: CMS Innovation Center Update,https://www.healthaffairs.org/do/10.1377/forefront.20240603.385559/,news_commentary,Health Affairs Forefront
Aligning Quality Measures across CMS: The Universal Foundation,https://www.nejm.org/doi/full/10.1056/NEJMp2215539,news_commentary,NEJM
"Navigating Health Equity in 2024: The Evolution of Accountability, Part 1",https://www.ajmc.com/view/navigating-health-equity-in-2024-the-evolution-of-accountability-part-1,news_commentary,AJMC
"Dobbs, another frontline for health equity",https://www.brookings.edu/articles/dobbs-another-frontline-for-health-equity/,news_commentary,Brookings
I saw the promise of diversity efforts in health care. A moment of reckoning is upon us,https://www.statnews.com/2024/04/03/dei-in-medicine-under-attack-and-health-care-leaders-must-step-up/,news_commentary,STAT
"HHS is climate washing, not addressing health care emissions",https://www.statnews.com/2024/08/15/hhs-climate-change-climate-washing-health-care-greenhouse-gasses/,news_commentary,STAT
Many People of Color Worry Good Health Care Is Tied to How They Look and Sound,https://kffhealthnews.org/news/article/health-care-quality-race-appearance-kff-survey/,news_commentary,KFF Health News
Women and Minorities Bear the Brunt of Medical Misdiagnosis,https://kffhealthnews.org/news/article/medical-misdiagnosis-women-minorities-health-care-bias/,news_commentary,KFF Health News
"Live from Austin, Examining Health Equity",https://kffhealthnews.org/news/podcast/what-the-health-362-health-equity-texas-tribune-festival-september-9-2024/,news_commentary,KFF Health News
